Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Culture/Tradition,-1,-1.900968884213591,0.08381288041964186,False,12,122.56791649273202
Culture/Tradition,1,-1.0492351900958203,0.48470743301050995,False,2,194.7167008015874
Ethnic/Racial Prejudice,1,-2.9806997841002527,0.01062599992903566,True,14,202.16373934778505
Ideology/Politics,-1,-1.7870529152139853,0.08081902756720252,False,45,52.82460807677191
Other,-1,-1.0016405584930332,0.4994782221332912,False,2,51.876471121503855
Other,1,-3.2828732587333227,0.046325563923267477,True,4,21.305671452814625
Personality/Behavior,-1,-0.5253025961565954,0.6075926825310018,False,15,138.5439217397704
Personality/Behavior,1,-3.1908290394342558,0.0018856562130043183,True,103,130.23898635797983
Residential area,-1,-1.8916033632457836,0.07018364665220644,False,26,93.99804520462077
Values,1,-0.44506161296854946,0.6596969791746994,False,29,27.262162443341943
