Category,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,2.570928606420418,0.04997896432958007,True,6,-2.0203640759922403
Academic Field,-1.073461552558449,0.29524487005860156,False,22,3.2315255987100056
Age,1.0979837244024067,0.27708338775319613,False,55,2.057419010814278
Appearance/Impression,0.0629774807260773,0.9499435092203226,False,80,2.999460690172257
Emotion/Affection,1.7653038424659533,0.09023506068758758,False,25,-3.804154813699176
Family,-2.3483753723789613,0.029249981417599828,True,21,3.785605782009659
Interests/Hobby,-1.6368035301205475,0.10699518165185556,False,60,5.518696478351562
Marital Status,0.5262994217019287,0.6018210379932118,False,38,1.6432856064771684
Occupation/Social Status,1.1557313048624116,0.2554040626767449,False,37,-5.356437645708959
Other,0.518624096201419,0.6134525754043196,False,13,1.157391892153727
Personality/Behavior,-1.3652901929516648,0.17398725276755822,False,169,1.7497645761191256
Physique,0.3581681862816131,0.722100776279752,False,41,-1.4883250205651342
Safety and Protection,-2.7202979348963487,0.016583794955455467,True,15,9.91339985202361
Sexuality,-1.1188142523470272,0.2834670456541859,False,14,41.24229123718067
台女,-2.068681333427907,0.03980060921147344,True,211,9.012447014231984
