Category,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,0.5078807767117246,0.6331420414771811,False,6,-0.2563303639368253
Academic Field,-1.0388048460722081,0.3107091387085996,False,22,2.378773919846865
Age,0.8276456176699427,0.4115139887773206,False,55,3.050960911216028
Appearance/Impression,-0.777050223855845,0.43944974883785815,False,80,4.437708429886407
Emotion/Affection,1.4528550783541838,0.15921461085123362,False,25,-2.7807352845808184
Family,-4.880924526330772,9.041743907556907e-05,True,21,5.288713077862987
Interests/Hobby,-2.9350084706798754,0.0047465943243920295,True,60,9.523847848204621
Marital Status,0.5329516277339142,0.5972538348653735,False,38,1.9697660232350898
Occupation/Social Status,0.2596009448087662,0.7966504967641492,False,37,-3.469026577192738
Other,-0.7869390793222045,0.44658142785184207,False,13,3.906028344625731
Personality/Behavior,-1.9582087877503556,0.051861583213530404,False,169,4.711005137891211
Physique,-0.6716654230546828,0.5056576233365688,False,41,0.7425872123800402
Safety and Protection,-1.9864768799795534,0.06691568125473772,False,15,9.118539195363033
Sexuality,-1.1474771165630715,0.27186397607012475,False,14,48.92284863908646
台女,-3.507130899065907,0.0005538744710397279,True,211,12.325554353799038
