Category,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,-1.6767831108701485,0.15443057248407782,False,6,0.518374183185234
Academic Field,-1.0326206407470875,0.3135278969956004,False,22,2.93734068717008
Age,0.762359388117969,0.4491628210656514,False,55,2.7626661093876277
Appearance/Impression,-0.8016251462047025,0.4251744774334776,False,80,4.531457079584884
Emotion/Affection,1.4226310271318148,0.16771167152746522,False,25,-2.172721499297846
Family,-5.02079243014905,6.5523930752044e-05,True,21,5.764067623136523
Interests/Hobby,-2.3322085061996254,0.023122027032339374,True,60,9.519897251132061
Marital Status,0.15934640236182346,0.8742626306429832,False,38,3.064949311952981
Occupation/Social Status,0.21360236523256626,0.8320623036233585,False,37,-3.169902303829432
Other,-0.9455503085859437,0.3630288922164262,False,13,3.4293962295438525
Personality/Behavior,-1.6040549208341555,0.11058024293942553,False,169,4.626193442120078
Physique,-1.140784078603488,0.26074407695748675,False,41,2.3397120735257246
Safety and Protection,-1.8571428760432818,0.0844521274239721,False,15,9.73678781190336
Sexuality,-1.1272333359034445,0.2800205599510807,False,14,45.33154298973058
台女,-2.9658136852538197,0.0033682792160682744,True,211,7.118865406685767
