Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Ideology/Politics,-1,-2.7132095762180093,0.007679140691662983,True,117,7.6990318182190585
Ideology/Politics,1,-inf,0.0,True,3,9.572137006042098
Institutions,-1,-1.3480310187237967,0.19436954301377807,False,19,8.927329266787227
Occupation/Social Status,-1,0.5700652592640405,0.5716001435903296,False,44,8.563431170860861
Occupation/Social Status,0,-2.9336806662515653,0.00520887320125983,True,47,10.364383924095128
Other,-1,-1.085363469553658,0.3059758829469099,False,10,8.324537957299544
Personality/Behavior,-1,-2.7045174665177476,0.04255380197131136,True,6,14.146449769555133
Personality/Behavior,0,-0.7528176578948967,0.4640309806061452,False,15,7.1651925853931875
Personality/Behavior,1,-0.6211283447189888,0.5471703842123767,False,12,2.3697534245828673
Residential Area,-1,-0.4341536904568194,0.6670901939460534,False,33,8.325686914787507
