Category,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,-2.478092578123727,0.05597182532369336,False,6,15.769678121340739
Academic Field,-1.3243129436648364,0.19963264832399,False,22,11.136479267226344
Age,0.7388928505039075,0.46317175200353145,False,55,6.8975360408003725
Appearance/Impression,1.1582220301184094,0.25026290559739817,False,80,14.032543498946225
Emotion/Affection,0.6974515206729701,0.49222210242625375,False,25,20.490030448738356
Family,-2.2877813507616973,0.033176245346886755,True,21,17.639439858335283
Interests/Hobby,-1.3046531146728866,0.19707714261217907,False,60,54.124212824424546
Marital Status,1.0103878558410777,0.3188716898053865,False,38,-0.7961656025836433
Occupation/Social Status,-0.4695884449948009,0.6415616073253105,False,36,17.745621586357498
Other,0.5006085562010497,0.6257016357894867,False,13,-2.2234355673022774
Personality/Behavior,-0.9473148687676367,0.3448470998534272,False,168,24.732770305624477
Physique,1.494742413577653,0.14282965112415485,False,41,10.983460664196746
Safety and Protection,-0.905543194331036,0.38049818266732627,False,15,42.96231899435547
Sexuality,-1.194729555582266,0.2552724296277446,False,13,91.60045007674975
台女,2.304692349239449,0.022151773854121894,True,213,2.6253743173824313
