Category,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,0.4435901788968569,0.675876298854539,False,6,-0.3500294462848642
Academic Field,-1.6562640539404345,0.11253573132445403,False,22,9.213188175921463
Age,1.7461015827894621,0.08669898210250915,False,53,11.25582411467372
Appearance/Impression,0.8747166037554412,0.38437968496783814,False,80,11.93891087835588
Emotion/Affection,-0.3217950534333352,0.7503940064506696,False,25,19.716755484063317
Family,-2.4843795303926965,0.021952926515695165,True,21,10.422226331024758
Interests/Hobby,-3.0505546970011808,0.0034192991346450163,True,60,60.18142379448987
Marital Status,1.1840441557082164,0.24394658085955806,False,38,-0.7905349662894396
Occupation/Social Status,-0.23495016225842486,0.8156166100232574,False,36,13.647628357620942
Other,-1.0049265259163083,0.33476651530324597,False,13,4.08499573005957
Personality/Behavior,-2.0147154335121003,0.04552935789322019,True,169,24.377347887875562
Physique,1.1287477964779191,0.2657286305488236,False,41,12.947381784896558
Safety and Protection,-1.2067426216054205,0.24752685405770955,False,15,40.89447826070091
Sexuality,-0.6068123677157411,0.556292611883656,False,12,60.86494328108573
台女,-0.10336551885567352,0.9177715213225744,False,211,5.469835140662144
