Category,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,-2.6366120720868236,0.04616409733827845,True,6,14.081937064963457
Academic Field,-0.9422375806400601,0.35678519870000736,False,22,12.891667382548015
Age,1.8797191031737677,0.06575447247340133,False,53,11.146760106282443
Appearance/Impression,0.4020451137537462,0.6887365129731973,False,80,10.301806761517419
Emotion/Affection,0.17821248215541846,0.8600518448015301,False,25,16.378063318760365
Family,-2.88152251712335,0.009226538307049519,True,21,13.509027418568342
Interests/Hobby,-2.2189607898836594,0.030348292836531232,True,60,68.23764375089792
Marital Status,1.0769410547296128,0.2884784973940747,False,38,-0.04102103840993416
Occupation/Social Status,-1.0176809604613748,0.315813134098481,False,36,19.372659069193187
Other,1.342388153855571,0.20431471254384895,False,13,-5.009192123224661
Personality/Behavior,-2.159460136920208,0.032241134224606845,True,168,30.87628785084674
Physique,1.4589634748877274,0.1523838656232483,False,41,10.81907858958879
Safety and Protection,-0.8215425565476867,0.42510735006604106,False,15,47.55925931646024
Sexuality,-0.3145093608538935,0.7590190880447014,False,12,41.11589345104499
台女,-0.6475984026383242,0.517952067739211,False,211,3.190503690160941
