Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Culture/Tradition,-1,-1.8990313218600892,0.08408817253097702,False,12,71.17349954130412
Culture/Tradition,1,-1.1949164475644882,0.4436137939971707,False,2,36.4059143154906
Ethnic/Racial Prejudice,1,-3.4801819124886486,0.004065684563765595,True,14,57.55267873397967
Ideology/Politics,-1,-4.401342774320909,6.344053947233157e-05,True,47,34.482383929663406
Other,-1,-0.9953292298190359,0.5014902298697252,False,2,9.065566088854887
Other,1,-3.2023487190639637,0.04924329997057227,True,4,19.123203171601684
Personality/Behavior,-1,-2.804348923567448,0.015915360958426696,True,13,23.533527913743278
Personality/Behavior,1,-6.012864099216807,2.79930444329364e-08,True,104,24.317621374989297
Residential area,-1,-1.6050820013957317,0.12055516300829369,False,27,34.18607387284104
Values,1,-1.5073926142593652,0.14291087555153856,False,29,31.8837825981363
