Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Appearance/Impression,-1,-1.034253804777596,0.3109191796938646,False,26,239.93993321243047
Athletic Ability,-1,-3.3525733351905447,0.012207697681880804,True,8,172.02168641949504
Culture/Tradition,-1,-3.8164169643811423,0.00024665023865478393,True,92,170.50983741096616
Drinking,-1,-2.5592893341294154,0.01541779747867458,True,33,155.5996625822839
Drinking,1,-1.1228495318562381,0.2834647900160968,False,13,612.5916238396554
Ideology/Politics,-1,-3.615180511521163,0.0012644830205595977,True,27,314.50847986875755
Institutions,-1,-2.067502354396908,0.041464842368087174,True,94,292.877049935866
Personality/Behavior,-1,-1.8343684545728363,0.20803598460202458,False,3,360.2573925377811
Personality/Behavior,0,-2.2874582885668686,0.028713058295912162,True,34,529.1393552641016
Personality/Behavior,1,-1.022048983410494,0.4930583964021872,False,2,399.260579254602
Residential area,-1,-2.307275021146786,0.04149727334681313,True,12,166.52773719344907
