Category,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,-0.08629344009812683,0.9320137284803943,False,23,2.212575580446641
Academic Field,-1.4788942975297266,0.1547469339440592,False,21,40.71440661276649
Appearance/Impression,-3.3943533715610923,0.0008416430572165753,True,186,43.35144679359828
Economics/Consumption,-1.3569143371153247,0.1779577410272097,False,98,29.12054071600193
Emotion/Affection,0.3888671751120116,0.700803046986497,False,25,27.4018128906526
Family,0.45042485137920757,0.6604338997723389,False,13,-0.9987735250616901
Interests/Hobby,-1.0186969145825275,0.3256290433846428,False,15,38.654641053332256
Occupation/Social Status,-1.2673275760731098,0.2139087589404458,False,34,64.592862626598
Other,-1.253592692925441,0.23850513537972642,False,11,18.259155238866317
Personality/Behavior,-1.6481847235510567,0.10169300813548152,False,133,44.580452481695865
Physique,-2.2077194463082224,0.032778968611381215,True,43,53.509246779163014
Sexuality,-2.55334097641841,0.022968070982432368,True,15,54.745534123305426
台男,-0.883064245477143,0.3783293473667554,False,189,6.688725198235989
