Category,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,-1.3672010843784284,0.18537035684531872,False,23,9.140164553240606
Academic Field,-1.5756256659057977,0.1307987702720669,False,21,42.510861447212406
Appearance/Impression,-3.584736453976421,0.0004315611417663415,True,186,42.10707776136039
Economics/Consumption,-0.9831785979603245,0.3279162343277531,False,100,25.514469011857667
Emotion/Affection,1.046498567090175,0.30575670135475197,False,25,16.81445558918273
Family,1.033866533347395,0.32158522781401583,False,13,-5.610503075922144
Interests/Hobby,-2.3972492041423905,0.03103196962888736,True,15,42.23962944024618
Occupation/Social Status,-1.4658810390034895,0.15214525127747658,False,34,77.97878614214005
Other,-1.2217401134122297,0.249824449364183,False,11,18.62864991196724
Personality/Behavior,-1.9523753406397266,0.0530102096284269,False,133,49.00684223267533
Physique,-1.4669641913500193,0.14983433834309576,False,43,44.5426306991654
Sexuality,-2.296429303230572,0.03760396256427397,True,15,57.42017740778847
台男,-2.5815769801734705,0.01059634344774244,True,189,15.50197346197974
