Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Culture/Tradition,-1,-2.617692295035789,0.023926933419280094,True,12,67.04640439098539
Culture/Tradition,1,-1.0592048843343023,0.4817013742516338,False,2,91.35369276036649
Ethnic/Racial Prejudice,1,-3.0873612538421904,0.00865477549843673,True,14,61.91001759727711
Ideology/Politics,-1,-2.2419179476837203,0.02972559559870653,True,48,42.80811568707699
Other,-1,-1.0066031661950259,0.49790507108871185,False,2,29.14712509159433
Other,1,-3.197632912737395,0.04942128205550683,True,4,20.10803625340529
Personality/Behavior,-1,-1.0889178638066415,0.2959651376828138,False,14,110.73960371797857
Personality/Behavior,1,-5.5941000543312285,1.8377019332801724e-07,True,104,53.504717461098
Residential area,-1,-1.4753181437439422,0.15213520350200277,False,27,42.761081653892504
Values,1,-1.9195412167840076,0.06515876502710546,False,29,51.01961963230669
