Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,-1,1.0236281424381426,0.31957199022449345,False,19,-1.871352727670608
Ability,0,-1.3429963660884505,0.27183944076374894,False,4,8.544832022224485
Academic Field,-1,-1.100619180406565,0.2841334055046205,False,21,5.319196488953539
Appearance/Impression,-1,-1.3123337739872603,0.19904179880293435,False,32,13.23193680999039
Appearance/Impression,0,-3.3644947242742496,0.0013896000555789676,True,57,11.190587215389614
Appearance/Impression,1,-1.4565678415714107,0.1484322633898116,False,99,5.687239374664601
Economics/Consumption,-1,0.9812556854953354,0.32883473760236825,False,101,0.8282937956026393
Emotion/Affection,-1,0.3055366996308962,0.7799310186538639,False,4,-1.820855043246107
Emotion/Affection,1,-2.467505898268176,0.02275560302075678,True,21,3.5960008384349527
Family,-1,-1.3978564622531193,0.18746043383577965,False,13,7.4594652982174825
Interests/Hobby,-1,-3.352408802847659,0.004741188263065796,True,15,11.64928930270198
Occupation/Social Status,-1,-2.6694664424573262,0.011693985126182378,True,34,19.672987915360938
Other,-1,-1.4347893267016296,0.18187342278589225,False,11,4.608208491729116
Personality/Behavior,-1,-2.026835290331893,0.08905327010334821,False,7,10.72038020659301
Personality/Behavior,0,-2.1019257084125056,0.037781398868014904,True,114,2.9962173093215
Personality/Behavior,1,0.4283786681204098,0.6766430948504198,False,12,4.005565821192503
Physique,-1,-1.4486618422000472,0.15485731257467672,False,43,5.111370881381081
Sexuality,-1,-4.056660334893875,0.0011778026369824396,True,15,11.830603211260621
台男,1,3.55765571127753,0.0004736347263211816,True,189,-3.900674145261719
