Category,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,1.165542206376403,0.25628130865268767,False,23,-2.007526592696592
Academic Field,-0.5236084511566435,0.6063048818771732,False,21,3.822766639604499
Appearance/Impression,-2.883238017212696,0.004397454982654967,True,188,6.509434871404686
Economics/Consumption,1.4068793613298551,0.1625635063365124,False,101,-0.2662272313242209
Emotion/Affection,-2.784961926458028,0.010281778808154278,True,25,3.0022820155835768
Family,-1.392969059577565,0.188897571341591,False,13,3.8291199446153548
Interests/Hobby,-2.6929274148657285,0.017497273047225943,True,15,9.26396530585855
Occupation/Social Status,-2.661394282491995,0.011926310295229597,True,34,19.570934438792385
Other,-1.416834466342099,0.18692287713981368,False,11,4.2189237466573815
Personality/Behavior,-1.032022284586917,0.3039632304492937,False,132,3.0193084084324915
Physique,-0.004376730934119151,0.9965286080792588,False,43,4.72080865319194
Sexuality,-3.5439065660685882,0.003239898553313752,True,15,15.010693174944365
台男,3.322879728748534,0.0010707266390841295,True,189,-2.610672632624463
