Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Ideology/Politics,-1,-3.167787103917838,0.0019676002192617623,True,116,153.01557797527798
Ideology/Politics,1,-1.2482883395588774e+16,6.417563469914307e-33,True,3,79.24158797594755
Institutions,-1,-5.054104105450785,9.786523704401994e-05,True,18,154.95927202055174
Occupation/Social Status,-1,-2.494779824222282,0.016724307483689967,True,42,184.7420062174195
Occupation/Social Status,0,-3.163578797373141,0.00279184036279366,True,46,349.09829304694824
Other,-1,-1.2053659852116323,0.2587965907738708,False,10,390.87037809605636
Personality/Behavior,-1,-1.1501865216616745,0.30208878533503264,False,6,339.86581678986465
Personality/Behavior,0,-4.300327186664679,0.0007330795610280362,True,15,159.5884321526171
Personality/Behavior,1,-2.6798275778128753,0.021414788287418052,True,12,496.1838822145773
Residential Area,-1,-2.7620286502006133,0.009313949214293389,True,34,426.5060442835317
