Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Ideology/Politics,-1,-2.074042370947269,0.040327395541290285,True,115,100.41314027207147
Ideology/Politics,1,-1.0806033593437238e+16,8.563816902506174e-33,True,3,63.45602324384979
Institutions,-1,-2.350165825531301,0.03109954354707079,True,18,111.86827042360454
Occupation/Social Status,-1,-2.9188945012346466,0.005681619510719944,True,42,95.24626930244088
Occupation/Social Status,0,-2.2878760547955994,0.026896162207299894,True,46,731.4502937384829
Other,-1,-1.1959162642669676,0.2622856692933179,False,10,107.20871242016918
Personality/Behavior,-1,-0.9774308936554296,0.3732455902222201,False,6,444.4663339344726
Personality/Behavior,0,-2.278601483302952,0.03889506195940935,True,15,76.79276668743523
Personality/Behavior,1,-1.3119641898633043,0.21625159442202896,False,12,212.77971437472476
Residential Area,-1,-1.8944516895916907,0.06752709019210662,False,32,645.5927795879471
