Category,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,-0.7919576780526898,0.4368419238042047,False,23,3.998428879069725
Academic Field,0.8316525283977706,0.41542469620884526,False,21,6.823024956167815
Appearance/Impression,-1.2809837699522935,0.20182923685133294,False,183,26.7296251324362
Economics/Consumption,-1.6977542390714697,0.09266412907944165,False,101,7.773095920210979
Emotion/Affection,-1.4178365073740102,0.1690922941379049,False,25,24.40270979481044
Family,0.4829159772680979,0.6378457652350243,False,13,19.29816230047163
Interests/Hobby,-1.7093269462078762,0.10945287826092566,False,15,35.950476134772316
Occupation/Social Status,-1.642367761212969,0.11001066643929049,False,34,35.6967696885815
Other,0.9998405445323789,0.34096660311674043,False,11,7.58127631331895
Personality/Behavior,-0.8341180734482293,0.40574453978841885,False,131,18.31326017096419
Physique,-1.4976082569546367,0.14208547468409136,False,41,17.470589746166358
Sexuality,0.28648337804442103,0.7787037672188465,False,15,38.765140536382596
台男,3.313199044875801,0.001106342994382832,True,189,-2.3759507730028306
