Category,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,-0.4350171211132359,0.6677876304863118,False,23,0.007035161260340706
Academic Field,-0.09625312625444199,0.9244451366603825,False,18,6.533613289698735
Appearance/Impression,-0.7192615362120581,0.4729230193635655,False,179,9.841470427321209
Economics/Consumption,-1.294887343861989,0.1983708875422666,False,100,5.411523986243185
Emotion/Affection,-4.11978144725044,0.0003891305718430378,True,25,8.401166792117877
Family,1.7420569205553247,0.1070446350343542,False,13,-0.08033839996338281
Interests/Hobby,-1.141931629987198,0.2726378587254811,False,15,15.944917038684844
Occupation/Social Status,-0.91158621302795,0.36859798968448054,False,34,20.686132786669038
Other,0.7448510858690418,0.4735034633575037,False,11,4.149512570075306
Personality/Behavior,-0.3424109399290645,0.7325989211144088,False,130,7.925102855467293
Physique,-2.0007627920586755,0.05259924855574525,False,39,6.363104683399605
Sexuality,0.38699334971811183,0.7045800222234709,False,15,10.60215038006887
台男,2.098832256662748,0.03716711554573389,True,189,-0.6490005428855958
