Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,-1,-1.20540639638395,0.2436544545663855,False,19,6.304196960488931
Ability,0,-0.5536393258255004,0.6184149413703294,False,4,6.471159737731575
Academic Field,-1,-0.30080819233499373,0.7668276940989737,False,20,12.869247509655931
Appearance/Impression,-1,-0.7943459966976966,0.43323316778340426,False,31,31.271484372678632
Appearance/Impression,0,-2.2068194166819812,0.031519359860470664,True,56,28.488716997876313
Appearance/Impression,1,-1.192934099786584,0.235775397288427,False,99,30.70934289292125
Economics/Consumption,-1,-2.13367796769544,0.03531516018048392,True,101,11.29486925040148
Emotion/Affection,-1,-3.4281554540206183,0.04159407665255275,True,4,8.351049706629805
Emotion/Affection,1,-1.880092290058532,0.07474193518969588,False,21,29.98276483008529
Family,-1,0.5627739509217369,0.5839501433681742,False,13,20.872434797285315
Interests/Hobby,-1,-1.555182126015357,0.14221334632235344,False,15,47.043814202312824
Occupation/Social Status,-1,-1.1978634999842133,0.2395032226432082,False,34,38.45707010006823
Other,-1,0.9393274566317855,0.36969703041416746,False,11,15.263084819406608
Personality/Behavior,-1,1.0880879365458427,0.3183203718261303,False,7,-17.193532482016543
Personality/Behavior,0,-2.176412659964821,0.03162425912235202,True,113,22.203191630011567
Personality/Behavior,1,0.28882899191554545,0.7780826432940342,False,12,27.486406507227073
Physique,-1,-1.596900445359424,0.118159046664843,False,41,20.523636775566274
Sexuality,-1,0.11890037761771202,0.9070435252987081,False,15,41.96396016424617
台男,1,3.3638568797223383,0.0009296712375340571,True,191,-2.1884688731776456
