Id ,Answer,Label 1,Label 2,Label 3
1,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
2,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
3,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
4,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
5,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
6,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
7,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
8,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
9,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
10,有 刻板印象/偏見,有 刻板印象/偏見,沒有 刻板印象/偏見,有 刻板印象/偏見
11,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
12,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
13,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
14,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
15,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
16,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
17,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
18,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
19,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
20,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
21,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,沒有 刻板印象/偏見
22,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
23,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,沒有 刻板印象/偏見
24,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
25,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
26,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
27,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
28,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
29,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
30,有 刻板印象/偏見,有 刻板印象/偏見,沒有 刻板印象/偏見,有 刻板印象/偏見
31,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
32,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
33,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
34,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
35,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
36,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
37,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
38,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
39,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
40,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
41,沒有 刻板印象/偏見,有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
42,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,有 刻板印象/偏見
43,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
44,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
45,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
46,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,有 刻板印象/偏見
47,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
48,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
49,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
