Id ,Answer,Label 1,Label 2,Label 3
1,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
2,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
3,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
4,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
5,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
6,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
7,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
8,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
9,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,沒有 刻板印象/偏見
10,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
11,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
12,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
13,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
14,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
15,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
16,沒有 刻板印象/偏見,有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
17,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
18,沒有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,沒有 刻板印象/偏見
19,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
20,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
21,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
22,沒有 刻板印象/偏見,沒有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
23,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
24,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
25,沒有 刻板印象/偏見,沒有 刻板印象/偏見,有 刻板印象/偏見,沒有 刻板印象/偏見
26,沒有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見,有 刻板印象/偏見
27,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
28,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,有 刻板印象/偏見
29,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
30,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見,沒有 刻板印象/偏見
