Category,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,1.9123521711243974,0.1140416751069408,False,6,-11.384389535336775
Academic Field,-1.5323314023787673,0.14036804598806718,False,22,7.735568408211385
Age,1.615583912957732,0.1120125916841388,False,55,11.556194098737933
Appearance/Impression,0.5840386212383114,0.5608583362937074,False,80,17.7690015117661
Emotion/Affection,-1.186924347773442,0.2468736138691498,False,25,13.668114260257324
Family,-2.538509222769268,0.019553291959349916,True,21,24.88353267266049
Interests/Hobby,-2.1805140267053584,0.0332194864682933,True,60,34.5952905975407
Marital Status,1.086989670136352,0.28407209614096546,False,38,4.031925198006882
Occupation/Social Status,1.0561688274226848,0.29812710876210524,False,36,19.972039387983642
Other,-0.7247355261559024,0.4825070159147521,False,13,7.700433199632324
Personality/Behavior,-0.863717733999376,0.3889892313037574,False,167,12.044987973117806
Physique,-0.2333147718115862,0.8167068781726979,False,41,13.540807624100172
Safety and Protection,-1.5878888478283826,0.13463335714197394,False,15,40.04462405173837
Sexuality,-1.1570899159990653,0.2680550456001385,False,14,27.168857591988242
台女,-2.30569139304039,0.022094762638045443,True,213,10.665901071094972
