Category,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,1.9228888175525072,0.11251118507148915,False,6,-8.749696421563417
Academic Field,-1.9619342700450406,0.0631597842109055,False,22,7.528211456996273
Age,1.7294832676718168,0.08943572140377042,False,55,9.704941178477355
Appearance/Impression,0.3360777228387281,0.7377032607790746,False,80,19.723857985574107
Emotion/Affection,-1.0876986593468339,0.287531265823688,False,25,15.828408295974503
Family,-2.480877776509843,0.022117294885174107,True,21,25.376860920543077
Interests/Hobby,-2.5049274173357836,0.0150292942032928,True,60,37.44895171849221
Marital Status,1.3609593091239227,0.1817588267543486,False,38,4.13144021533901
Occupation/Social Status,1.0594921269246194,0.29663297794290555,False,36,18.96373973995834
Other,-1.4784357680141682,0.16505405391013236,False,13,13.011393326420231
Personality/Behavior,-0.9501201595744313,0.34343244431692066,False,167,15.30899915471906
Physique,-0.9354904363906392,0.355149307632204,False,41,16.585556459737553
Safety and Protection,-1.6255540434149203,0.1263359785500261,False,15,34.43255066208636
Sexuality,-1.886231304135188,0.08180155764353841,False,14,34.719631205039015
台女,-2.986685524289261,0.0031521963361315743,True,213,14.62191628704542
