Category,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,1.9653011062904795,0.10656265291727418,False,6,-10.370033603956847
Academic Field,-1.5660571674711958,0.13228082817298636,False,22,6.061616174512262
Age,1.8278509927404187,0.07309868720960623,False,55,6.916404371679395
Appearance/Impression,0.6954071890728415,0.4888407239476851,False,80,17.07448645479633
Emotion/Affection,-1.243822704939743,0.2255771096420462,False,25,14.697118007309953
Family,-1.8079765751614842,0.08567393269679188,False,21,22.507520982457407
Interests/Hobby,-1.7598537705056783,0.0836162092062562,False,60,24.395013595801203
Marital Status,1.772040303864103,0.08462318897743698,False,38,0.8285462913956732
Occupation/Social Status,1.0718927899970394,0.29110390858667146,False,36,21.305260145448244
Other,-0.976986658199209,0.347860977267874,False,13,8.45729056575725
Personality/Behavior,-0.6540417482922171,0.5139899590834758,False,167,8.60646637921216
Physique,-0.8995086651202113,0.3737652310537264,False,41,13.946441204212714
Safety and Protection,-1.7942035856307745,0.09439806234125686,False,15,31.486538477426716
Sexuality,-0.8788970709875221,0.3954122633831858,False,14,17.784523481223953
台女,-2.7631961583443236,0.006227187979012535,True,213,11.36710190345951
