Category,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,1.8362482992718232,0.12575290377251508,False,6,-11.517716552244867
Academic Field,-1.5486673078374733,0.1364011892872874,False,22,6.878706414809901
Age,1.7484541648905114,0.08606851432877713,False,55,5.138099771374282
Appearance/Impression,0.8302010486640399,0.4089269779905762,False,80,16.231959765129634
Emotion/Affection,-0.7095460028585834,0.48482271399978993,False,25,15.084161748768544
Family,-2.3474144858165396,0.029308740406014767,True,21,19.662055409919223
Interests/Hobby,-1.7444825108966564,0.08628249281798218,False,60,21.56514636467319
Marital Status,1.7745021978576707,0.08420898412871697,False,38,1.6213868391920534
Occupation/Social Status,1.0047748695637302,0.3219016446310975,False,36,16.320411614086737
Other,-1.1282261593141951,0.281276508520902,False,13,7.996779505955579
Personality/Behavior,-0.6668301889120404,0.5058120088492377,False,166,8.82082357513709
Physique,-0.965906724242368,0.33989472967258516,False,41,14.625688521503424
Safety and Protection,-1.6279341262111113,0.1258268098611268,False,15,32.90145661025775
Sexuality,-0.9864913272827556,0.34189766372112584,False,14,11.455572831016472
台女,-2.8172866448843727,0.005300846656301701,True,213,12.490667278341395
