Category,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,1.5194678577183933,0.1891137156604625,False,6,-10.13990508920353
Academic Field,-1.7737023664618599,0.0906156720817925,False,22,7.754201607454628
Age,1.8353180440950594,0.07196821180699595,False,55,9.099072780290225
Appearance/Impression,0.4844260979907585,0.6294238713778546,False,80,19.01027399296999
Emotion/Affection,-1.544824166355489,0.13547387268713998,False,25,17.412429778768207
Family,-2.381245818586032,0.027304416440282978,True,21,24.2034198596878
Interests/Hobby,-1.8552528450738317,0.06855806695681539,False,60,25.89537001930339
Marital Status,1.1448689522135935,0.25961543804883314,False,38,4.1537201325219355
Occupation/Social Status,1.1463966864942157,0.2594084160213966,False,36,16.98301530953543
Other,-0.7286690896229853,0.48018367054439526,False,13,6.005043447026605
Personality/Behavior,-1.292366316204183,0.19801567719942378,False,168,10.758111852171574
Physique,-0.7946783152073222,0.4314906296076274,False,41,15.124635615258711
Safety and Protection,-1.8020655528501381,0.09310111033744166,False,15,45.68888050232656
Sexuality,-0.1347268090442276,0.8948914657131529,False,14,22.989557564765903
台女,-2.6073278118655514,0.009773531193108564,True,213,11.43830677425805
