Category,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,2.064583839526845,0.0938841134079721,False,6,-9.763254575771525
Academic Field,-1.7903709389434703,0.08782356760272436,False,22,4.6154104081703
Age,0.9204649694453381,0.3614237156685005,False,55,8.894097185397488
Appearance/Impression,0.6883215185787424,0.49326665736762687,False,80,17.23510378504722
Emotion/Affection,-0.8531215631721667,0.4020262726545294,False,25,11.498187315243374
Family,-2.6873417228587546,0.01416469745645512,True,21,15.783707189512874
Interests/Hobby,-1.4284728239646567,0.15842854503411635,False,60,22.592580560837515
Marital Status,1.2987367569200634,0.20207037929132962,False,38,0.9583127756676503
Occupation/Social Status,0.893563514266827,0.3776588441251897,False,36,19.990655686637055
Other,-0.6270243933222162,0.5423892992532544,False,13,8.03459186521205
Personality/Behavior,-0.16690988750482658,0.8676428807771046,False,168,7.181190494272631
Physique,-0.4692667507312977,0.6414268874555444,False,41,12.401147661195196
Safety and Protection,-1.6961472073188786,0.11197082070638646,False,15,32.168644513441436
Sexuality,-0.689803819220084,0.502446257591687,False,14,11.130946261349171
台女,-3.64170547169093,0.00034045345167372474,True,213,9.781071403214774
