Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Ability,-1,,,False,1,-31.167137539471646
Ability,1,2.1788837341710923,0.09486279925702289,False,5,-6.210612816853887
Academic Field,-1,-1.5660571674711958,0.13228082817298636,False,22,6.061616174512262
Age,-1,1.8278509927404187,0.07309868720960623,False,55,6.916404371679395
Appearance/Impression,-1,,,False,1,53.73166355392476
Appearance/Impression,0,-2.334074934958602,0.023205168608196,True,57,15.935505879166637
Appearance/Impression,1,1.5324167625943805,0.1403470731018097,False,22,18.359246259876507
Emotion/Affection,-1,-3.4022316523836653,0.019204471825355517,True,6,20.496133368560784
Emotion/Affection,0,,,False,1,58.6231268639572
Emotion/Affection,1,-1.142399059183006,0.26912336731327635,False,18,10.323779061523718
Family,-1,-1.8079765751614842,0.08567393269679188,False,21,22.507520982457407
Interests/Hobby,-1,-1.7598537705056783,0.0836162092062562,False,60,24.395013595801203
Marital Status,-1,1.772040303864103,0.08462318897743698,False,38,0.8285462913956732
Occupation/Social Status,-1,1.0718927899970394,0.29110390858667146,False,36,21.305260145448244
Other,-1,-0.976986658199209,0.347860977267874,False,13,8.45729056575725
Personality/Behavior,0,-0.7242087213734726,0.4717996639720574,False,60,12.136950576685372
Personality/Behavior,1,0.24561438390717785,0.8064556798352793,False,107,6.626755614273909
Physique,-1,-0.01710751806152594,0.9864922688530429,False,25,7.7621567493376755
Physique,0,-0.1899711978795836,0.8568034003771496,False,6,25.831718756736493
Physique,1,-1.0167147176680071,0.33584062588252156,False,10,22.27598580988605
Safety and Protection,-1,-1.0353323450533167,0.488949711105746,False,2,39.495896904557405
Safety and Protection,1,-1.5791418330543316,0.14028785245996428,False,13,30.254329488637392
Sexuality,-1,-0.8788970709875221,0.3954122633831858,False,14,17.784523481223953
台女,1,-2.7631961583443236,0.006227187979012535,True,213,11.36710190345951
