Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Culture/Tradition,-1,-1.4966508210399845,0.16261519356818763,False,12,112.07669782223604
Culture/Tradition,1,-1.0156291686491488,0.4950637555059997,False,2,242.0913695902948
Ethnic/Racial Prejudice,1,0.23861419146054624,0.8151249446444422,False,14,51.76727500185867
Ideology/Politics,-1,-1.5561503693551226,0.12652638925820714,False,47,32.409703988911296
Other,-1,-1.0525138843529986,0.4837155375689874,False,2,21.306682065686573
Other,1,-3.041327127854292,0.055808761361094646,False,4,69.54582733884526
Personality/Behavior,-1,-1.3845514454498211,0.18949448496634802,False,14,71.63296688734533
Personality/Behavior,1,-0.3545053337258449,0.7236920724608987,False,103,94.70190072046589
Residential area,-1,-1.74591054718368,0.09263439177869387,False,27,56.06006963823017
Values,1,-1.7669462214742206,0.08813727288261862,False,29,29.25109648115352
