Category,Type,t_statistic,p_value,statistically significant,count,delta_ratio
Appearance/Impression,-1,1.4650545405540467,0.15588448552310533,False,25,0.6342059415663086
Athletic Ability,-1,2.3223066021371683,0.053213371723290485,False,8,-24.700578898700087
Culture/Tradition,-1,1.3873772645752622,0.1687151212281624,False,92,-17.851408572555126
Drinking,-1,1.5581510817147552,0.12934916354973292,False,32,-31.465646356346138
Drinking,1,0.27179972274541586,0.7897431131328836,False,15,-16.90274833923638
Ideology/Politics,-1,2.2135124287709043,0.0358419705402269,True,27,-48.018397187967985
Institutions,-1,2.2790835958268234,0.024949677763300274,True,94,-16.402315586022258
Personality/Behavior,-1,2.3665588619443656,0.141592807246096,False,3,-68.84931617356325
Personality/Behavior,0,1.6221998783124099,0.11457334425582062,False,33,-30.187344202485335
Personality/Behavior,1,0.8340209792024443,0.5574576086597294,False,2,-28.21991924117641
Residential area,-1,1.4290207680009979,0.18077560387965932,False,12,7.069855412416002
